file,method,metric,margin_mean,gradient_mean,margin_points,gradient_points
GJqSBf6p8qg_0_s2_f3_0246.npz,Euclidean,euclidean,0.7482787370681763,1.7769770622253418,1,1
GJqSBf6p8qg_0_s2_f4_0247.npz,Euclidean,euclidean,0.6521769165992737,1.9371074438095093,1,1
GsfG9ZC8rUU_0_s0_f0_0269.npz,Euclidean,euclidean,0.5907382369041443,1.7359298467636108,1,1
GsfG9ZC8rUU_0_s0_f1_0270.npz,Euclidean,euclidean,0.5932769775390625,1.7459098100662231,1,1
GsfG9ZC8rUU_0_s0_f2_0271.npz,Euclidean,euclidean,0.5596888661384583,1.781866431236267,1,1
GsfG9ZC8rUU_0_s1_f0_0272.npz,Euclidean,euclidean,0.4843108739171709,0.23808055903230393,7,7
GsfG9ZC8rUU_0_s1_f1_0273.npz,Euclidean,euclidean,0.5648593366146087,0.33554075956344603,5,5
GsfG9ZC8rUU_0_s1_f2_0274.npz,Euclidean,euclidean,0.41630886238999665,0.23538754880428314,8,8
GsfG9ZC8rUU_0_s2_f0_0275.npz,Euclidean,euclidean,0.41301996767520904,0.07224813133478164,25,25
GsfG9ZC8rUU_0_s2_f1_0276.npz,Euclidean,euclidean,0.36655275326441317,0.05707690251224181,34,34
GsfG9ZC8rUU_0_s2_f2_0277.npz,Euclidean,euclidean,0.3560115155474893,0.06845340042792518,29,29
I8K17mzV-QU_0_s0_f1_0278.npz,Euclidean,euclidean,0.5436624884605408,2.092921733856201,1,1
I8K17mzV-QU_0_s1_f0_0279.npz,Euclidean,euclidean,0.5082841962575912,1.0811946392059326,2,2
I8K17mzV-QU_0_s1_f1_0280.npz,Euclidean,euclidean,0.6482821702957153,2.1527252197265625,1,1
I8K17mzV-QU_0_s1_f2_0281.npz,Euclidean,euclidean,0.4972483615080516,0.7499898473421732,3,3
I8K17mzV-QU_0_s1_f3_0282.npz,Euclidean,euclidean,0.600704163312912,1.0283492803573608,2,2
I8K17mzV-QU_0_s1_f4_0283.npz,Euclidean,euclidean,0.29166603088378906,2.6702966690063477,1,1
I8K17mzV-QU_0_s2_f0_0284.npz,Euclidean,euclidean,0.334625814642225,0.34883213894707815,7,7
I8K17mzV-QU_0_s2_f1_0285.npz,Euclidean,euclidean,0.44971400996049243,0.362587034702301,6,6
I8K17mzV-QU_0_s2_f2_0286.npz,Euclidean,euclidean,0.38329683031354633,0.3362725589956556,7,7
I8K17mzV-QU_0_s2_f3_0287.npz,Euclidean,euclidean,0.4649706244468689,0.43038191795349123,5,5
I8K17mzV-QU_0_s2_f4_0288.npz,Euclidean,euclidean,0.39359859824180604,0.4666850805282593,5,5
Kd42SbTQv2U_11_s0_f0_0289.npz,Euclidean,euclidean,0.5811082720756531,1.7570463418960571,1,1
Kd42SbTQv2U_11_s0_f2_0290.npz,Euclidean,euclidean,0.6164335012435913,1.6536699533462524,1,1
Kd42SbTQv2U_11_s0_f3_0291.npz,Euclidean,euclidean,0.7218844294548035,1.7334527969360352,1,1
Kd42SbTQv2U_11_s0_f4_0292.npz,Euclidean,euclidean,0.7213560342788696,1.793795108795166,1,1
